iter	Passed	Remaining
422	2096	2859
423	2098	2850
424	2100	2841
425	2101	2832
426	2110	2832
427	2152	2876
428	2165	2882
429	2172	2880
430	2177	2874
431	2180	2866
432	2183	2859
433	2192	2859
434	2196	2852
435	2207	2855
436	2210	2847
437	2213	2840
438	2229	2849
439	2241	2852
440	2243	2844
441	2246	2836
442	2254	2835
443	2259	2829
444	2261	2820
445	2270	2819
446	2272	2811
447	2274	2802
448	2276	2794
449	2284	2791
450	2286	2783
451	2288	2774
452	2290	2765
453	2292	2757
454	2295	2749
455	2297	2741
456	2309	2744
457	2314	2738
458	2328	2744
459	2333	2739
460	2343	2739
461	2348	2734
462	2363	2741
463	2390	2761
464	2404	2766
465	2428	2783
466	2432	2775
467	2444	2778
468	2447	2770
469	2452	2765
470	2461	2764
471	2467	2760
472	2480	2763
473	2492	2765
474	2496	2759
475	2512	2766
476	2524	2767
477	2527	2760
478	2541	2763
479	2550	2763
480	2557	2759
481	2566	2757
482	2569	2750
483	2576	2746
484	2579	2739
485	2582	2731
486	2585	2723
487	2591	2718
488	2594	2710
489	2596	2702
490	2599	2694
491	2601	2686
492	2605	2679
493	2608	2671
494	2610	2663
495	2612	2654
496	2614	2646
497	2619	2640
498	2621	2631
499	2622	2622
500	2624	2614
501	2626	2606
502	2632	2601
503	2634	2592
504	2636	2584
505	2637	2575
506	2639	2566
507	2641	2557
508	2645	2552
509	2647	2544
510	2649	2535
511	2651	2527
512	2653	2519
513	2656	2511
514	2663	2508
515	2665	2500
516	2667	2492
517	2669	2483
518	2670	2475
519	2674	2469
520	2677	2461
521	2678	2453
522	2680	2444
523	2681	2436
524	2683	2428
525	2685	2419
526	2695	2419
527	2698	2412
528	2700	2404
529	2710	2403
530	2713	2396
531	2716	2389
532	2728	2390
533	2730	2383
534	2740	2381
535	2744	2376
536	2746	2368
537	2759	2369
538	2773	2372
539	2776	2365
540	2778	2357
541	2784	2353
542	2786	2345
543	2788	2337
544	2790	2329
545	2794	2323
546	2797	2316
547	2799	2309
548	2801	2301
549	2807	2296
550	2809	2289
551	2811	2281
552	2814	2274
553	2816	2267
554	2824	2264
555	2826	2257
556	2829	2250
557	2831	2242
558	2839	2239
559	2843	2234
560	2859	2237
561	2863	2231
562	2871	2229
563	2874	2222
564	2877	2215
565	2890	2216
566	2893	2209
567	2901	2206
568	2903	2199
569	2907	2193
570	2915	2190
571	2917	2183
572	2920	2176
573	2922	2168
574	2931	2166
575	2935	2161
576	2950	2163
577	2954	2157
578	2970	2159
579	2980	2158
580	2983	2151
581	2985	2144
582	2999	2145
583	3023	2153
584	3027	2147
585	3029	2140
586	3031	2132
587	3039	2129
588	3042	2123
589	3044	2115
590	3048	2109
591	3091	2130
592	3095	2124
593	3111	2127
594	3130	2130
595	3143	2130
596	3155	2129
597	3163	2126
598	3176	2126
599	3181	2121
600	3186	2115
601	3199	2115
602	3209	2112
603	3216	2108
604	3230	2108
605	3248	2111
606	3260	2111
607	3263	2104
608	3271	2100
609	3274	2093
610	3277	2086
611	3279	2079
612	3286	2074
613	3289	2067
614	3292	2061
615	3296	2054
616	3300	2048
617	3303	2041
618	3306	2034
619	3316	2032
620	3320	2026
621	3328	2023
622	3332	2016
623	3337	2010
624	3343	2006
625	3346	1999
626	3348	1992
627	3351	1985
628	3359	1981
629	3362	1974
630	3365	1967
631	3368	1961
632	3375	1957
633	3378	1950
634	3380	1943
635	3382	1935
636	3388	1930
637	3390	1923
638	3392	1916
639	3394	1909
640	3396	1902
641	3399	1895
642	3402	1888
643	3404	1881
644	3407	1875
645	3410	1869
646	3417	1864
647	3420	1858
648	3423	1851
649	3425	1844
650	3431	1839
651	3434	1833
652	3436	1826
653	3439	1819
654	3441	1812
655	3448	1808
656	3451	1801
657	3453	1794
658	3455	1788
659	3457	1781
660	3460	1774
661	3462	1767
662	3464	1761
663	3467	1754
664	3469	1747
665	3476	1743
666	3478	1736
667	3481	1730
668	3484	1723
669	3491	1719
670	3494	1713
671	3497	1706
672	3499	1700
673	3505	1695
674	3508	1689
675	3511	1683
676	3513	1676
677	3515	1669
678	3521	1664
679	3523	1658
680	3526	1651
681	3531	1646
682	3538	1642
683	3540	1635
684	3542	1628
685	3544	1622
686	3545	1615
687	3550	1610
688	3552	1603
689	3553	1596
690	3555	1589
691	3556	1583
692	3558	1576
693	3560	1569
694	3563	1563
695	3567	1558
696	3569	1551
697	3570	1545
698	3572	1538
699	3574	1531
700	3575	1525
701	3581	1520
702	3583	1513
703	3585	1507
704	3587	1500
705	3589	1494
706	3590	1488
707	3596	1483
708	3599	1477
709	3602	1471
710	3603	1464
711	3605	1458
712	3615	1455
713	3617	1448
714	3619	1442
715	3621	1436
716	3628	1432
717	3630	1425
718	3632	1419
719	3634	1413
720	3636	1407
721	3643	1402
722	3645	1396
723	3647	1390
724	3648	1384
725	3650	1377
726	3655	1372
727	3657	1366
728	3659	1360
729	3661	1354
730	3663	1347
731	3665	1341
732	3669	1336
733	3672	1330
734	3673	1324
735	3675	1318
736	3678	1312
737	3682	1307
738	3684	1301
739	3686	1295
740	3688	1289
741	3690	1283
742	3691	1276
743	3697	1272
744	3699	1266
745	3702	1260
746	3704	1254
747	3706	1248
748	3708	1242
749	3715	1238
750	3718	1232
751	3720	1226
752	3722	1221
753	3727	1216
754	3729	1210
755	3731	1204
756	3733	1198
757	3734	1192
758	3736	1186
759	3738	1180
760	3743	1175
761	3744	1169
762	3746	1163
763	3747	1157
764	3749	1151
765	3751	1145
766	3752	1140
767	3758	1135
768	3760	1129
769	3762	1123
770	3765	1118
771	3767	1112
772	3781	1110
773	3791	1106
774	3795	1101
775	3799	1096
776	3811	1093
777	3817	1089
778	3841	1089
779	3845	1084
780	3847	1078
781	3850	1073
782	3855	1068
783	3859	1063
784	3866	1059
785	3877	1055
786	3881	1050
787	3889	1046
788	3892	1040
789	3894	1035
790	3903	1031
791	3905	1025
792	3908	1020
793	3911	1014
794	3919	1010
795	3924	1005
796	3938	1003
797	3987	1009
798	3993	1004
799	4013	1003
800	4023	999
801	4026	994
802	4031	989
803	4037	984
804	4046	980
805	4054	975
806	4067	972
807	4074	968
808	4089	965
809	4119	966
810	4131	962
811	4134	957
812	4145	953
813	4148	947
814	4150	942
815	4157	937
816	4161	932
817	4163	926
818	4166	920
819	4174	916
820	4176	910
821	4180	905
822	4188	900
823	4191	895
824	4194	889
825	4206	886
826	4209	880
827	4212	875
828	4219	870
829	4222	864
830	4225	859
831	4229	854
832	4233	848
833	4239	843
834	4302	850
835	4307	845
836	4311	839
837	4315	834
838	4320	829
839	4323	823
840	4326	817
841	4337	813
842	4354	810
843	4361	806
844	4370	801
845	4375	796
846	4387	792
847	4390	786
848	4393	781
849	4403	777
850	4435	776
851	4440	771
852	4443	765
853	4451	760
854	4454	755
855	4457	749
856	4464	744
857	4468	739
858	4474	734
859	4500	732
860	4504	727
861	4522	724
862	4531	719
863	4535	713
864	4544	709
865	4547	703
866	4551	698
867	4593	698
868	4597	693
869	4600	687
870	4609	682
871	4612	677
872	4615	671
873	4621	666
874	4626	660
875	4692	664
876	4699	659
877	4709	654
878	4712	648
879	4739	646
880	4742	640
881	4746	635
882	4753	629
883	4763	625
884	4776	620
885	4788	616
886	4793	610
887	4798	605
888	4801	599
889	4807	594
890	4811	588
891	4820	583
892	4823	577
893	4825	572
894	4833	567
895	4900	568
896	4904	563
897	4916	558
898	4919	552
899	4922	546
900	4939	542
901	4971	540
902	4988	535
903	5018	532
904	5027	527
905	5031	522
906	5034	516
907	5066	513
908	5068	507
909	5080	502
910	5086	496
911	5097	491
912	5099	485
913	5102	480
914	5112	474
915	5115	469
916	5124	463
917	5127	458
918	5130	452
919	5133	446
920	5149	441
921	5155	436
922	5158	430
923	5160	424
924	5163	418
925	5168	413
926	5170	407
927	5172	401
928	5175	395
929	5177	389
930	5179	383
931	5185	378
932	5187	372
933	5188	366
934	5190	360
935	5191	355
936	5193	349
937	5199	343
938	5201	337
939	5202	332
940	5203	326
941	5205	320
942	5206	314
943	5208	308
944	5213	303
945	5215	297
946	5217	292
947	5220	286
948	5221	280
949	5223	274
950	5228	269
951	5230	263
952	5232	258
953	5233	252
954	5235	246
955	5237	241
956	5238	235
957	5243	229
958	5245	224
959	5247	218
960	5248	213
961	5251	207
962	5253	201
963	5264	196
964	5277	191
965	5282	185
966	5291	180
967	5295	175
968	5300	169
969	5309	164
970	5311	158
971	5313	153
972	5315	147
973	5319	142
974	5322	136
975	5324	130
976	5328	125
977	5329	119
978	5331	114
979	5337	108
980	5339	103
981	5340	97
982	5342	92
983	5344	86
984	5345	81
985	5349	75
986	5352	70
987	5354	65
988	5356	59
989	5357	54
990	5359	48
991	5360	43
992	5366	37
993	5368	32
994	5370	26
995	5373	21
996	5374	16
997	5376	10
998	5381	5
999	5383	0
